,0
32,"My dream is that the Winklevoss twins will buy out Facebook with Bitcoin.

And rename it Face Bits."
33,Deleting my facebook account was purifying and exhilarating. I recommend everyone do the same immediately.
34,You'd have to be crazy to stay on Facebook.
35,Time to break up Facebook. They're a threat to national security and sovereignty.
36,"Wearing my “I Voted” sticker today, I am sickened by the thought that by using Facebook, I am somehow complicit in harming democracy."
37,"Facebook: ""Facebook representatives said the data shared with Huawei stayed on its phones, not the company’s servers.""

What does that even mean? How can Facebook exclude that user data were copied to Huawei's servers? They can't, and their business model rewards them for enabling and ignoring the possibility.

Stop using Facebook. It's no longer merely a personal matter, it's a geopolitical imperative."
38,For a lesson in how to get regulated... Facebook!
39,"Oh but he's such a boy wonder, aw shucks Mark, so young and innocent too. Will he have to do another dog ate my Facebook, I'm sorry tour?"
40,"What is this ""Facebook"" thing of which you speak?

It certainly isn't anything I've ever used."
41,MZ should be in jail. Fine him and his company for a few billion. Has he ever been fined? Mark has been a very naughty boy.
42,"Life's funny:
* If Zuckerberg were president, he'd be impeached for high crimes, based on this report.
* If ""president"" Trump were C.E.O of a normal publicly-held company (and not a majority stockholder), the board would summarily fire him based on his performance the past 500 days.
There's a lesson there somewhere."
43,"""You don't get something for nothing."" When friends and family are logging in, sharing, etc... I said, ""What do they charge for this service?"" I heard, ""It's free!"" ""I said, there's no such thing as a free lunch!"" Well, this is how Facebook, etc... makes their money! Wise up folks!"
44,Did you ever see a corporation take a loyalty oath to America or pledge allegiance to the flag?
45,"America! .... When these FOREIGNERS solicit you for business.... just say ""No thanks!"" .... America First."
46,"Lenin has been quoted as saying: ""The Capitalists will sell us the rope that we will use to hang them.""

Lenin's cynical comment was to point out that Capitalists care about nothing but money, about turning a profit. That Capitalists will sell-out their values, their country, their relatives ... even their own lives in pursuit of profit.

Facebook it seems has been readily living up to Lenin's view of what being a Capitalist is all about. It's clear that Facebook executives including Mark Zuckerberg didn't take a moment to consider the possible damage that could be inflicted by sharing their data with these Chinese telecom companies. Facebook was more likely interested in gaining favor with the Chinese government, getting access to the Chinese market and making money off them. Facebook behaved just exactly the way Lenin would have expected."
47,"The Facebook product is you, the user of Facebook. That is all FB has to sell to advertisers . That is exactly how Facebook gets rich or richer. I would really love to see FB disappear. I guess that's too much to hope for."
48,"Just a reminder to everyone finally getting off of Facebook to think carefully about every other social media outlet you are on and ask yourself whether or not it can easily do the same thing. I'm talking Twitter, Instagram, dating apps..."
49,I'm beginning to suspect that Facebook is more interested in making money than in helping humanity.
50,Ya think??
51,"Meantime, one year ago.....

“The future of online privacy is now in President Trump's hands.
The House of Representatives voted Tuesday to repeal Internet privacy protections that were approved by the Federal Communications Commission in the final days of the Obama administration.
The Senate voted along party lines to undo the rules last week. The resolution now goes to Trump's desk. The White House said Tuesday it ""strongly supports"" the repeal.”

http://money.cnn.com/2017/03/28/technology/house-internet-privacy-repeal..."
52,"Wait, I thought there was still a vote in the House about to happen! TheNation highlighted it in it's amazing Take Action Now section, encouraging folks to visit their representatives on Thursday:

https://www.thenation.com/article/make-sure-everyone-know-talking-puerto..."
53,*its
54,"Well, Mr. Zuckerberg might have been the smartest techie in the room, but he certainly wan't the smartest person in the room."
55,Gosh darn it. I had hoped that Mr. Zuckerberg would really care about subscribers privacy. Gosh darn it.
56,Did you really? How would he get rich if he cared.
57,"Once while discussing with LinkedIn executives, I asked whether he felt people disclosed their personal information voluntarily. He looked at me and chuckled, “Well, they do!” He was from Obama’s task force on social media."
58,"What we should seriously consider...

Multi-national corporations and digital empires ( such as Facebook , Google, Microsoft) are making deals for which a small group of people.... irrespective of nationality or origin are banning together for global control. Maybe we should consider if the end game for these multi-nationals and digital empires are to build a global network of tyranny.

Mr. Zuckerberg is a dangerous, greedy, and unprincipled man. I've said this for two years in the NYT comments section: You can live without Facebook, but Facebook could survive without its users for a minute.

WAKE-UP"
59,"So, with all the waffling that Zuck has been doing, is he lying to us? Time for everyone to sign off on FB for the last time. Farewell FB. Where is the shame. Where is the integrity. Almost sounds like treason to me."
60,"As a young college student, I doubt Mark Zuckerberg planned to undermine the world order with his keen observation of how to blend technology and human nature. People gossip. People love to gossip about their nearest and dearest peeps. People love to share their opinions. Uploading a recipe or cat video or selfie is a joy. We are social after all and “social media”allows us to socialize in an international way. There is no way to turn back the clock, but there is a reckoning coming. Evil people will use whatever means they can to gain power. Zuckerberg handed them the tool."
61,Let me see if I understand... People put their information on Facebook... on the internet... and now they're upset that someone has access to their information?
62,"signing onto Facebook is making a deal with the devil. You lose your time, privacy - and, yes, your soul."
63,"Like many a good capitalist, Zuckerberg built a business model that was dependent on the resource of willful idiocy. Every country in the world is overflowing with endless deposits of that resource.
Our political leaders will not hold him accountable because they depend on our stupidity, as well."
64,These comments seem to ignore the fact that these companies are competing on an global basis. It would be shocking to me if Facebook treated these companies any differently than others cell phone makers. The company mentioned is the third largest cell phone makers in the world.
65,So competition makes sharing data OK?
66,"After the Chinese and Cambridge Analytica data breaches, Facebook should be made to pay multiple $billions into US social security and healthcare to help relieve the debt the GOP made for their tax cuts to the top .1% and to make up for the GOP inheritance tax cut in which they do not have to pay on their earnings."
67,"Between helping Russia swing the election and giving massive amounts of data to China, its reasonable to ask what value Facebook has to the American citizen? Clearly at this point the costs outweigh the benefits. If you want to keep in touch with friends and family why not just call them?"
68,"I got off of Facebook many years ago. Although I had limited myself to only family and close friends, I still got tired of seeing and reading a lot of nonsense.

But I also was concerned with all of the personal information and photos that were posted. I told people that based on what I saw, I could rob their homes when I knew they were on vacation, and I could stalk and entice their kids to go somewhere with me. I knew what they looked like, their names, school, activities, etc.

Their jobs, what they recently bought, where they socialized, what they liked to eat, and so on was all available. But the problem for us all is that now a person doesn't need to be on Facebook anymore to be tracked. If you have just one person in your contacts who is on Facebook, then they have you and everyone in your contacts and your contacts’ contacts and so on. We are all somewhere on the dark web..."
69,"Wow that's really depressing. So neither of us really protected ourselves in the end, nor did anyone else who got off of Facebook years ago. I knew there was a chance the odd photo of me would still show up there, but since I wasn't on it, no one could tag me, so I thought I was safe..."
70,"lol, you are assuming honest people posting honest information in honest profiles.

Tom Harrison is not my real name and I usually shave off about 20 years. The pics may or may not be me:) And like Trump, I am not gonna release any tax returns that might bring into question how little I actually make:)

Sell my info. It ain't worth much."
71,Zuckerberg will go on another apology tour- to China.
72,"Facebook ""shared"" our data with the Chinese government---courtesy of Huawei, a Chinese telecom flagged by the US government???

Facebook outright SOLD our data to Cambridge Analytica, backed by hedge fund magnate Robert Mercer, to elect Donald Trump???

Facebook helped Russian intelligence during the 2016 Presidential election, with trolls who supported Trump and spread conspiracy rumors about Hillary?

Anyone see any patterns here???"
73,"They didn't 'share' - they provided it as part of agreements that got them money.

I believe Google is political. Facebook just sells everything to the highest bidder and could care less about anything else.

If anything, Silicon Valley leans pretty hard left. But it is money that far outweighs any other consideration."
74,"I would like to bring Mr. Snowden home and send the facebook traitor to Russia.- who, incidentally does not have enough cash to entice me to use his product. But I bet I am still in his data system."
75,I think Facebook has about run its course.
76,I've had it and just now permanently deleted my Facebook account. Thanks a lot Facebook and to think I once trusted you.
77,I deleted mine 3 weeks ago. Haven’t missed it!
78,Perhaps this is the real Bonfire of the Vanities.
79,"Facebook tends to make you see things you don't want to see and refuse to show others things you'd like them to see. This conundrum is further made a mystery by the other reality that maybe specific others don't want to see what I want them to see while specific political guided miscues whether the Russians, the Chinese or the NRA are non-negotiable without your expressed written consent."
80,"FB wanted the business and had no oversight. Americans blindly trust that US companies have a patriotic sense of duty. This gets obscured and forgotten when there’s $billions to be made in a relatively short amount of time.

There’s been 2 generations since WWII. At that time, almost every able bodied American united and joined in the War Effort to save Democracy, which we take for granted now. But the people have to work to keep it that way. Cyber security is as big a threat as any bomb during WWII, and even worse as it can effect financial institutions, infrastructure and energy grids.

The most confusing thing to me is that Trump ignores multinational cyber security experts from the US and EU, including the Committee on Foreign Investment in the U.S. regarding use of Chinese ZTE components in existing telecommunication devices due to potential risks. And with Trump’s unilateral reversal, this could allow components that threaten US security to gain market shares over Apple and Samsung using 5G networks. Huawei Technologies Co., which was labeled a cyberspying threat by a U.S. congressional committee in 2012."
81,"Small government = business with no oversight.
It is why no serious government is small."
82,"Why did Facebook give these private companies and foreign companies access and did Facebook get paid? or what did Facebook get for giving up private information? I hope they pay for this.

I want to sign up for the class action."
83,"If this revelation does not persuade folks to delete their accounts on facebook, nothing will do so. Be rid of social media, and discover the real meanings of friends and relationships."
84,"I quit Facebook a month ago after reading about all the deaths in Malaysia between adversarial party fighting due to FB disinformation campaigns.

I want nothing to do ever again with anything even remotely connected to with Mark Zuckerberg a or Cheryl Sandberg."
85,"Thank you for supporting FB while the Malaysia thing was happening, though."
86,"Recognize that tech companies like Google and Facebook care absolutely nothing about American citizens or our privacy.

Everyhting is for sale to the highest bidder.

End all tax breaks and extended worker import programs (Chinese?) now - these companies do not operate in the American interest."
87,Quick question... When should I expect to receive my class action notification?
88,"People like Trump, Zuckerberg, and other money slaves will do anything for money and fame including compromising the national security and people of the United State."
89,Apple also is closely allied to the communist Chinese government and has shown itself over and over again to be NOT interested in helping protect America from its enemies.
90,"That is what ""globalization"" is all about. In 2004 (14years ago), john Kerry talked about ""Benedict Arnold CEOs"" and no one listened to him. Now it is all outrage."
91,"Zuckerberg needs to take some time away from the company to reflect on what it means to be honest, trustworthy, and an American, and then he needs to resign. Facebook needs to be broken up."
92,"Social media in general, and Fakebook in particular, is about destroying the fabric of civilized society by converting into warring tribes, like in Afghanistan, for the benefit of social media owners and their allies, Russia and China."
93,Glad I never put my mug and personal information on Facebook. Figured sooner or later somebody would use it against me.
94,"How many more articles like this do we need for people to get off of Facebook? Honestly. I'm finding it harder and harder to feel sorry for anyone still on it. I predicted all of this years ago, got off of it and everyone laughed at me for being ""dramatic"" and ""paranoid.""

Who's laughing now?"
95,"Ditto. I've never been on Facebook despite the relentless dunning of people who poked fun. I'm also paranoid, or so they say. Whatever information Facebook has about me -- and it's plenty -- came through Facebook mining their information without my knowledge.

btw - I use Firefox and watch the little box on the lower left of the page that tells me what's being downloaded along with the page I requested. Facebook *always* shows along with the usual clutter like doubleclick.

We don't need a Big Brother watching us. Facebook is making a fine surrogate."
96,"@Patricia and Humanesque: Also check out the Privacy Badger browser add-on from the Electronic Frontier Foundation (and maybe throw them a few bucks).

I left FB after Cambridge Analytica, but I've used Privacy Badger for a year or more. It keeps FB and Twitter from following you around the web, and it blocks spying ads and invisible trackers."
97,"It's ok everyone, Facebook said none of the data was accessed off of the phones so I'm sure the Chinese government didn't get anything."
98,oh the sarcasm
99,"If The Zuck said it it must be true. The Duke of Wellington was greeted by a man who said, Mr. Jones (or Smith, whatever) I believe; Wellington responded ""If you believe that, you will believe anything."""
100,"Well, our Prez, contrary to all advice from the intelligence services and many members of the Senate, is out smoozing ZTE. With a doozy of a $500 million loan from China to buy the crook’s cooperation, Chinese slippers rather than Russian jack boots might be running America then Facebook will be completely put out of business."
101,"So it is illegal for US companies to transfer certain technology to China and other countries, but Facebook is allowed to sell its user’s personal data to them? Was Zuckerberg asked about these deals at his hearing last month? If so, were his replies consistent with what’s explained in the article? If China’s security services use the data for nefarious purposes, will Zuckerberg compensate the victims for their injuries? Facebook’s behavior is utterly inconsistent with their tv ads which claim that their sole goal is to connect the people of the World... Congress needs to have him back to testify and have social media experts ask the questions."
102,Huawei is a threat to the US national security? What a joke. You want to know who spies on us? Facebook and Google. Not Huawei. Why aren't Facebook and Google flagged as a threat to US national security??
103,"Your statement is at odds with our government's warnings >

<blockquote>China has the means, opportunity, and motive to use telecommunications companies for malicious purposes.
Chinese intelligence collection efforts against the U.S. government are growing in “scale, intensity and sophistication.”12 Chinese actors are also the world’s most active and persistent perpetrators of economic espionage.13 U.S. private sector firms and cyber- security specialists report an ongoing onslaught of sophisticated computer network intrusions that originate in China, and are almost certainly the work of, or have the backing of, the Chinese government.14 Further, Chinese intelligence services, as well as private companies and other entities, often recruit those with direct access to corporate networks to steal trade secrets and other sensitive proprietary data.</blockquote>"
104,"No - Huawei spies pretty extensively on US citizens at the behest of the Chinese government much as the Russians use Kaspersky anti-virus.

That doesn't make Facebook any less of a concern but don't lose sight of the threat of foreign technology companies operating in support of foreign governments."
105,"Econ 101 :

Since 2009 Facebook has been blocked in China. No global company wishes to be excluded from the vast Chinese Market of one billion Internet users.

In 2014 , Zuckerberg tried a charm offensive , addressing for 20 min in Mandarin an audience at Tsinghua, China's premier technology and business University. In July 2014, Bloomberg News reported that Facebook signed a three-year lease last spring to rent more than 8,600 square feet of office space in Beijing's central business district.

Charm does not get you anywhere in China. Deals do.

More generally:

The US population still needs to learn that in a global society, ""US Firms"" are global companies - not US ones.

Including firms bailed out by US tax payers. In 2017, GM
sold 4.04 million vehicles in China , a third more than the 3.002 million the company sold in the United States. To get such access, its cutting edge research is carried out jointly with China's automotive industry, handing over US knowledge to the PRC.

http://www.gmchina.com/media/cn/en/gm/news.detail.html/content/Pages/new..."
106,"Don't worry, I'm sure Zuckerberg is sorry."
107,"I have never had the urge to jump on the facebook or twitter bandwagons or any of the other similar sites. Joining a forum for BBQ is about as risky as I am willing to chance. Seems to me that social sites are full of busy bodies snooping into each others lives, bragging about their own adventures and piling on when the mood suits them. Users are making a hand full of people very VERY wealthy. And powerful. Both are attributes that can be misused."
108,"Ironically, it looks like the Chinese were right to ban Facebook in China afterall."
109,"Zuckerberg should be in prison.

ENOUGH!!!"
110,"I dream daily of awakening to find the infatuation with tech hipsterism dead. I work with the technology on a daily basis, and have for nearly 35 years as an aerospace software systems engineer. Yet I know my opinions are not popular, at least not with the business/marketing folks, nor the general public who eat the buzzword PR up and regurgitate it as supposedly ‘tech savvy’ truth. If you want to know where 'fake news' started, then look no further than the tech industry. Most people take everything the collective industry says as gospel, but never question the motives; those telling 'us' what to believe, are the very ones profiting hand over fist if we buy into their propaganda – yeah, slight conflict of interest, but people are so awed by the bells and whistles, the shiny, that they are complete suckers for it all. The tech industry is seen as progressive, trendy, hipster, with a whiff of libertarianism thrown in for an iconoclastic edge. Nonsense! The industry is closer to what the 'old' stereotypes would have held: the antithesis of progressive, hiding behind the bogus façade of ‘libertarianism,’ selfish and greedy beyond defense. They want your data, so they can sell you as product. They encourage the belief that hacking is cool, when in fact it is the realm of petty criminals and obtuse script kiddies. Please, stop buying into the lies – technology is nothing more than a tool, helpful but no panacea for humanity, and rife with problems."
111,Great post! Thank you!
112,"Infatuation indeed!
I know a couple of people that can't drive anywhere without help from their car's satnav. One got lost because his satnav couldn't accept ""Maccas"" as a destination in a nearby town (""Maccas"" is common Aussie abbreviation for MacDonalds)."
113,"There was a recent news report about teenagers leaving Facebook in droves. It is time for adults to do the same thing and delete the Facebook app from their devices. There is no need to breakup Facebook, just watch it vanish like MySpace."
114,Wonderful yet reckless technology. Any monetary fines as outcome should be given to FB users.
115,"Yes America, you can trust Facebook to guard your information and privacy because...it's so easy to use and Zuckerberg seems so nice and hip and it doesn't cost me any money and I just don't care about the privacy of my friends, parents, spouse or even my children.

We have become a nation of lazy fools."
116,Follow the money.
117,"Facebook should never have been trusted with private information. No one imagined Facebook would find mysterious revenue sources that we are only now finding out what they were. We never before wondered how Facebook growth was financed besides stock holders. In reality Facebook was not really free even though we all enjoyed being Facebookers for free. I should have stuck to my principle that nothing that is free is worth anything. Anyway since I did not place any private information and asked not to share information with anyone other than carefully selected friends, I am not too worried. But the federal government should worry and appoint a special prosecutor to find out about the collusion between Facebook and all those who were getting secret information."
118,"This is what is destroying our democracy - not Russia, not China, but the American system of law - one law for the rich, and another for the rest of schlubs. Why isn't Mark Zuckerberg doing a perpetrator walk for treason? Theft? Fraud?

I bet that any Democrat and any Republican can find one point of agreement: we are sick of the rich getting away with breaking any law they choose and facing no consequences. Pollution? Check. Insider trading? Check. Extortion for necessary to life medicines? Check. Violating labor laws, even to the point of killing workers? Check. Poisoning water? Check. Destroying the country's economy and getting bailed out instead of paying bail? Check. Tax evasion to the tune of billions? Check. When will we Republicans, Democrats, and Independents start working together - these people are destroying everything for ALL OF US."
119,"Yes, Barbara, and it's pathetic that when these kinds of things happen, the cost is on the backs of people like you and me, as if WE did something wrong. It's time for one set of real laws for everyone, term limits and recalls of ALL elected officials who do not abide by the will of the majority, and when I say majority, I do not mean those with the MAJORITY of the money."
120,Why don't we start with Trump who has done/does/or wishes he could many of these things and now is claiming that he is truly ABOVE the law?
121,Isn't aiding and abetting espionage a crime called sedition?
122,"Facebook MUST be broken up into smaller distinct entities.
Now."
123,"Revoke Facebook’s right to operate in the US as a US company. Label them a national security threat, and let them move to Ireland, or any other tax haven they wish. And ban all Chinese companies from operating in the US as well, as they are all tools of the communist dictatorship. And drastically cut down the number of Chinese students and workers in the US. Most of them are Xi supporters, and are collectively helping bring about a greater, imperial China."
124,"No, jail the executives and confiscate their assets."
125,"Do you know how much money they give to politicians? That will never happen, the law doesn't apply when it stops lawmakers from making money."
126,"I deleted my Facebook account in November, and it’s increasingly depressing to learn it didn’t protect me or my family."
127,I thought Trump wanted to help ZTE. That isn't mentioned in the article.
128,"He didn't really - just trying to avoid having the trade war spiral out of control.

I wish people could focus on the real issue in this case - tech giants importing foreign workers, violating our privacy in ways most people don't realize, and having no interest in supporting the country - all they care about is money and its time we clearly stated that."
129,"Ah, but Cambridge Analytica is the bad guy. Ahahahahahahahahaha. Hypocrite much, Facebook?"
130,"Maybe data mining isn't as harmless as it seems or is portrayed to us. It's time for the United States to get back into the business of making some of its own electronics/technical devices. It's long past time for OUR data and privacy to be protected. Businesses do not need as much data as they claim. In fact less data might produce some better products because we'd have less niche marketing and companies would be forced to appeal to a broader group. I'm tired of being told that I have to allow ""cookies"" or have a lesser experience on line. I'm tired of being asked irrelevant questions or for my email address just to access a site to check information.

If Congress cannot cooperate long enough to protect Americans privacy, data, and credit card numbers, or force companies to take privacy more seriously they don't deserve to be in office. Data sharing is not a benevolent activity. Nor is identity theft. It hurts real people all the time."
131,"The Senate voted last year to reverse net neutrality against millions of consumer complaints to NOT reverse it. It basically reduces online privacy. Pai really had no justification to do it. Trump really encouraged the vote. At the time Bannon was on the NSC and was working with Cambridge Analytica too.

Now the vote is coming next week to the Congress. Wonder what the GOP will do with it after the news of all the Facebook breaches which affect national security?"
132,"Users don't care about their data and most of us gave up (or had taken away) our privacy years ago in the name of ""security"". Facebook is a business and they're gonna do whatever it takes to make money, duh. And no one is going to do anything significant about it because the people in government, of any party, are there to protect the interests of business who in turn keep people sedated with social media and entertainment, big gas guzzling automobiles and and tokens of dividends. Huawei won't worry, Trump will work with Xi to make it all better."
133,What a depressingly accurate comment.
134,"While these ongoing disturbing revelations are the direct result from having an advertising based business model, and not the technology, it’s frighteningly overdue for Congress to insist on a third party algorithm audit. With the exception of Facebook, Google, Twitter, and the rest of the Silicon Valley ilk, every advertising/media vehicle used within the advertising industry:TV, Radio, newspapers, magazines, etc. are subjected to rigorous third party audits. Not until that rock is lifted, will we know all the slithering things being withheld and lied about by Facebook. It’s time for Congress to knock it off with the ineffectual hearings and sound bites, understand the gravity of the situation, take the action needed, and have a third party group, that understands the complexity of this issue, lift up the hood and dismantle if needed."
135,"I think that wider net has to be cast in Silicon Valley on those who profit off helping repressive regimes. Companies such as Cisco helped build an internet firewall in China to help the government control and censor data.

https://www.eff.org/deeplinks/2016/04/ciscos-latest-attempt-dodge-respon...

“Cisco custom-built the so-called “Great Firewall of China,” also known as the “Golden Shield.” This system enables the Chinese government to conduct Internet surveillance and censorship against its citizens. As if that weren’t bad enough, company documents also revealed that, as part of its marketing pitch to China and in an effort to meet its customers needs, Cisco built a special Falun Gong module into the Golden Shield that helped the Chinese authorities identify, locate, and ultimately persecute practitioners of that religion by, for example, creating profiles of them that could be used during interrogations and forced conversions (i.e., torture).”"
136,"Oh but wait, Trump wants to protect Chinese jobs so ZTE has been given a reprieve. I am sure that is what middle America elected Trump to do. To be hard on Canada and Europe but to embrace China. Not!"
137,"And to embrace Putin, Duterte and any other dictator he can find."
138,Trying to prevent a trade war from spiraling out of control isn't really support....measured pressure makes sense.
139,"...and we continue to support corporations and their big influence on politics with outsized donations ....
...and how many other companies do this? do we really think Netflix with its market research, Google, Amazon are all ""saints""?"
140,"And, according to FB officials, 'the data shared with Huawei stayed on its phone'. Which phone & who says? Oh, Facebook officials . . . . , that phrase joins 'the check is in the mail."
141,"If Facebook is free, then the product is YOU!"
142,"I attended a lecture on privacy given by a professor from the University of NC School of Law (who is undoubtedly one of the few people to ever read the FB privacy policy in toto) as Mr. Zuckerberg was testifying before Congress. In the Q&A afterwards I asked her if she could pose one question to Mark Zuckerberg, what would it be. She paused for a moment and then said, “What will your next business model be?” I’m ALMOST beginning to have hope that he may soon have to give that a tiny bit of thought."
143,"Whether this is a big deal or not, it's troubling how lucrative consumers have become as the product, and more troubling how all this big data can be used to disrupt the sovereignty of countries.
There is simply nothing humans won't monetize to make a buck."
144,"There is one thing I can think of that hasn't been monetized, and I'd estimate it's worth a (profane profanity tirade here) incomparable fortune.

Other than that, you're absolutely right."
145,"Vladimir Lenin is reputed to have said "" Capitalists will sell us the rope with which we will hang them."" True in 1918 and still true today in 2018
Good job there, Comrade Zuckerberg!"
146,".... sorry but too populist quote fro me-
in former eastern block communists sold people with everything and a rope
...Facebook is till not even on that planet"
147,And they will sell every inch of ground. Then they will realize that you can't eat money. Then what happens?
